REPDTE,ASSET,CERT,INTINC,NETINC,NONII,LNLSNET,DEP,NPERFV,ID
20260331,4016571000,628,41764000.0,13974000.0,18541000.0,1493977000,2787994000,0.3376262986512625,628_20260331
20260331,2672192000,3510,24647000.0,7417000.0,8145000.0,1191560000,2128004000,0.3706694728522501,3510_20260331
20260331,1933622000,7213,23613000.0,5011000.0,6127000.0,708441000,1501029000,0.2817510351040689,7213_20260331
20260331,1852239000,3511,19479000.0,5961000.0,6028000.0,971566000,1516982000,0.6487823655586563,3511_20260331
20260331,751776000,33124,8132000.0,1959000.0,2010000.0,240344000,504823000,0.3538288000681054,33124_20260331
20260331,683379960,6548,7262608.0,1991808.0,2869541.0,395078415,539835606,0.977939417480138,6548_20260331
20260331,672010000,4297,16219000.0,2317000.0,2721000.0,424310000,520795000,1.125280873796521,4297_20260331
20260331,567948516,6384,6078527.0,1870675.0,1978123.0,342366467,441507226,0.5456410066577232,6384_20260331
20260331,541180000,9846,5796000.0,1573000.0,1180000.0,326243000,413574000,0.4612143833844562,9846_20260331
20260331,467349000,639,4986000.0,1373000.0,2874000.0,60237000,419724000,0.0117685070471959,639_20260331
20260331,391305000,32992,3802000.0,1326000.0,1750000.0,113127000,254345000,0.3309438928712896,32992_20260331
20260331,386546000,14,2641000.0,760000.0,2690000.0,49200000,299560000,0.0558795072255307,14_20260331
20260331,345610767,18409,3689763.0,628388.0,361233.0,163079805,282545575,0.5740356462910775,18409_20260331
20260331,296118000,6672,2981000.0,395000.0,899000.0,174693000,240416000,0.4775123430524318,6672_20260331
20260331,284135374,6560,3106817.0,629840.0,538267.0,186527076,227513232,0.6266322897197587,6560_20260331
20260331,251964731,16571,2862810.0,732963.0,407250.0,138104725,193961053,0.574343875135445,16571_20260331
20260331,242914000,57450,1462000.0,803000.0,13000.0,57549000,219912000,0.0135850547930543,57450_20260331
20260331,241388000,34221,2646000.0,741000.0,161000.0,177956000,205802000,0.1719223822228114,34221_20260331
20260331,235521000,11063,2787000.0,559000.0,712000.0,148253000,171449000,0.7570450193401014,11063_20260331
20260331,227134099,57957,2419321.0,533380.0,515100.0,143563245,186851400,0.9581947446825232,57957_20260331
20260331,217568586,27471,6072524.0,2002501.0,7758263.0,163072859,173984176,0.565426297342393,27471_20260331
20260331,214201000,588,2534000.0,679000.0,541000.0,137886000,167256000,0.9519096549502568,588_20260331
20260331,185983433,17534,1993211.0,581466.0,562656.0,108800202,153305440,0.4909141557785956,17534_20260331
20260331,185664000,57803,3030000.0,513000.0,551000.0,136489000,156225000,0.713116166839021,57803_20260331
20260331,173842608,913,2233274.0,509573.0,1506230.0,42344342,142285087,0.0556549404735115,913_20260331
20260331,167705510,57890,1602759.0,369496.0,502279.0,55167094,135520708,0.4744316391274204,57890_20260331
20260331,159430000,12368,1699000.0,573000.0,604000.0,96855000,132760000,0.6128081289594179,12368_20260331
20260331,122628191,35583,1512890.0,230906.0,247124.0,84505366,101064128,0.4074682957689557,35583_20260331
20260331,122261832,57565,1361384.0,315418.0,22076.0,89875894,108163032,0.0890760413274357,57565_20260331
20260331,114855000,27314,4382000.0,743000.0,133000.0,86421000,85813000,1.9520264681555008,27314_20260331
20260331,109670000,32188,1396000.0,224000.0,479000.0,42381000,94938000,0.4632078052338835,32188_20260331
20260331,106094600,29950,1171704.0,262968.0,677975.0,55282862,85645960,1.0211999479709617,29950_20260331
20260331,99947369,17281,1143232.0,183570.0,180056.0,68798768,81067113,0.5325022612651265,17281_20260331
20260331,98766387,57512,1187557.0,174873.0,186874.0,62797733,83216785,1.9316551490336484,57512_20260331
20260331,87956932,2270,999333.0,232932.0,183075.0,60706991,76926168,0.3338395204598541,2270_20260331
